"id","indicator","period_label","period_start","period_end","gross_lei","net_lei","gross_value_type","net_value_type","source_ids","source_urls","reference_date","methodology_note"
"minimum_wage_h1_2026","Salariul minim general — semestrul I 2026","1 ianuarie–30 iunie 2026","2026-01-01","2026-06-30","4050","","legal_threshold","not_included","hg_1506_2024","https://legislatie.just.ro/Public/DetaliiDocument/291450","2026-07-29","Prag legal brut lunar pentru normă întreagă; valoarea netă nu este inclusă în această versiune a setului."
"minimum_wage_h2_2026","Salariul minim general — semestrul II 2026","1 iulie–31 decembrie 2026","2026-07-01","2026-12-31","4325","2699","legal_threshold","standard_calculation","hg_146_2026|oug_89_2025","https://legislatie.just.ro/Public/DetaliiDocument/308231|https://legislatie.just.ro/Public/DetaliiDocument/305817","2026-07-29","Net standard calculat pentru funcția de bază, normă întreagă, fără tichete și fără persoane în întreținere, cu facilitatea de 200 lei."
"bass_average_indicator_2026","Indicatorul salarial brut BASS 2026","anul 2026","2026-01-01","2026-12-31","9192","5377","statutory_budget_indicator","standard_estimate","legea_44_2026","https://legislatie.just.ro/Public/DetaliiDocument/308863","2026-07-29","9.192 lei este indicatorul stabilit prin Legea 44/2026 pentru bugetul asigurărilor sociale; 5.377 lei este o estimare netă standard Salariile.ro, nu o statistică INS."
"ins_average_earnings_may_2026","Câștigul salarial mediu lunar INS — mai 2026","mai 2026","2026-05-01","2026-05-31","9483","5684","observed_aggregate","observed_aggregate","ins_mai_2026","https://insse.ro/cms/sites/default/files/com_presa/com_pdf/cs05r26.pdf","2026-07-29","Valori agregate publicate de INS pentru luna mai; netul agregat nu reprezintă conversia fiscală a unui salariu individual de 9.483 lei brut."
